source,url,name,price_raw,price_vnd,brand,type,is_gaming,is_wireless,has_mic,connection,battery_life_hours,weight_gram,battery_applicable,type_was_missing,connection_was_missing,battery_life_hours_was_missing,weight_gram_was_missing,price_vnd_capped,price_vnd_original,brand_grouped,connection_grouped,price_per_gram,price_per_battery_hour
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-jbl-wave-flex.html,Tai nghe Bluetooth True Wireless JBL Wave Flex,5.000.000đ,1.2959183673469388,Jbl,in-ear,0,1,1,Bluetooth,-0.15789473684210525,-0.1514726507713885,1,0,0,0,0,5000000,5000000,Jbl,Bluetooth,657894.7368421053,208333.33333333334
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-sony-wf-c510.html,Tai nghe Bluetooth True Wireless Sony WF-C510,1.690.000đ,0.17006802721088435,Sony,over-ear,0,1,0,Bluetooth,-0.8421052631578947,0.4651706404862085,1,1,0,0,1,1690000,1690000,Sony,Bluetooth,12114.695340501792,153636.36363636365
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-chup-tai-soundpeats-space-3-pro.html,Tai nghe Bluetooth chụp tai SoundPEATS Space 3 Pro,5.000.000đ,1.2959183673469388,Soundpeats,over-ear,0,1,0,Bluetooth,-0.10526315789473684,1.056568489948574,1,0,0,1,0,5000000,5000000,Soundpeats,Bluetooth,18796.992481203008,200000.0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-true-wireless-baseus-bass-bs-2-lite.html,Tai nghe Bluetooth True Wireless Baseus Bass BS2 Lite,390.000đ,-0.272108843537415,Baseus,in-ear,0,1,0,Bluetooth,-1.105263157894737,0.009350163627863487,1,0,0,0,1,390000,390000,Baseus,Bluetooth,9285.714285714286,65000.0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-soundpeats-t3-pro.html,Tai nghe Bluetooth True Wireless SoundPeats T3 Pro (ANC),500.000đ,-0.23469387755102042,Soundpeats,in-ear,0,1,1,Bluetooth,0.15789473684210525,0.46750818139317435,1,0,0,0,0,500000,500000,Soundpeats,Bluetooth,3571.4285714285716,16666.666666666668
cellphones,https://cellphones.com.vn/tai-nghe-khong-day-beats-solo-buds.html,Tai nghe Bluetooth True Wireless Beats Solo Buds,1.990.000đ,0.272108843537415,Apple,in-ear,0,1,0,Bluetooth,0.0,-0.0640486208508649,1,0,0,1,1,1990000,1990000,Other,Bluetooth,75665.39923954374,73703.70370370371
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-jbl-live-460nc.html,Tai nghe Bluetooth chụp tai JBL Tune 460NC,2.990.000đ,0.6122448979591837,Jbl,over-ear,0,1,1,3.5mm+Bluetooth,1.2105263157894737,0.7947639083683964,1,0,0,0,0,2990000,2990000,Jbl,3.5mm+Bluetooth,14238.095238095239,59800.0
cellphones,https://cellphones.com.vn/tai-nghe-bluetooth-anker-soundcore-liberty-4.html,Tai nghe không dây chống ồn Anker Soundcore Liberty 4 NC (A3947),2.390.000đ,0.40816326530612246,Anker,in-ear,0,1,0,Bluetooth,-0.8947368421052632,-0.1298270219728845,1,0,0,0,1,2390000,2390000,Other,Bluetooth,195421.0956663941,239000.0
cellphones,https://cellphones.com.vn/tai-nghe-chup-tai-sennheiser-hd-600.html,Tai nghe chụp tai Sennheiser HD 600,7.990.000đ,2.2823129251700682,Sennheiser,over-ear,0,0,0,3.5mm,,1.0285179990649835,0,0,0,1,0,7900000,7990000,Sennheiser,3.5mm,30384.615384615383,
cellphones,https://cellphones.com.vn/tai-nghe-gaming-co-day-hyperx-cloud-alpha-2.html,Tai nghe chụp tai Gaming HyperX Cloud Alpha 2,5.000.000đ,1.2959183673469388,Hyperx,over-ear,1,0,1,3.5mm,,1.4258999532491818,0,0,1,0,0,5000000,5000000,Other,3.5mm,14492.753623188406,
cellphones,https://cellphones.com.vn/tai-nghe-bose-quietcomfort-earbuds.html,Tai nghe bluetooth Bose Quietcomfort Earbuds,4.400.000đ,1.0918367346938775,Hãng Khác,in-ear,0,1,0,Bluetooth,0.21052631578947367,-0.14726507713884993,1,0,0,0,0,4400000,4400000,Other,Bluetooth,517647.0588235294,141935.48387096773
